X,Z
0,1000.028774321797
1,1000.0188306117475
2,1000.0088443198161
3,999.9987732250692
4,999.9885758250903
5,999.9782116868334
6,999.9676417875065
7,999.9568288423504
8,999.9457376163448
9,999.9343352170556
10,999.9225913660721
11,999.9104786467238
12,999.8979727260426
13,999.8850525492227
14,999.8717005051323
15,999.8579025617364
16,999.8436483706015
17,999.8289313399597
18,999.8137486761102
19,999.7981013932261
20,999.7819942919123
21,999.7654359071166
22,999.7484384262406
23,999.7310175785141
24,999.7131924968977
25,999.6949855539523
26,999.6764221732708
27,999.6575306182028
28,999.6383417597107
29,999.6188888252967
30,999.5992071310158
31,999.5793337986487
32,999.5593074601659
33,999.5391679516428
34,999.518955998822
35,999.4987128965337
36,999.4784801842023
37,999.4582993196742
38,999.4382113536052
39,999.4182566066448
40,999.3984743516505
41,999.3789025031501
42,999.3595773162597
43,999.3405330972328
44,999.3218019277913
45,999.3034134053382
46,999.2853944011033
47,999.2677688381955
48,999.2505574914582
49,999.2337778109115
50,999.2174437704482
51,999.2015657433025
52,999.1861504056468
53,999.1712006694829
54,999.1567156457854
55,999.1426906386245
56,999.1291171707433
57,999.115983040801
58,999.1032724122028
59,999.0909659331487
60,999.079040887223
61,999.0674713735425
62,999.0562285151673
63,999.045280694177
64,999.0345938115194
65,999.0241315694575
66,999.0138557741805
67,999.0037266559058
68,998.9937032035939
69,998.9837435112161
70,998.973805132378
71,998.9638454400001
72,998.9538219876882
73,998.9436928694137
74,998.9334170741365
75,998.9229548320747
76,998.912267949417
77,998.9013201284267
78,998.8900772700515
79,998.878507756371
80,998.8665827104453
81,998.8542762313912
82,998.841565602793
83,998.8284314728508
84,998.8148580049696
85,998.8008329978086
86,998.7863479741111
87,998.7713982379472
88,998.7559829002915
89,998.7401048731458
90,998.7237708326825
91,998.7069911521359
92,998.6897798053985
93,998.6721542424907
94,998.6541352382558
95,998.6357467158027
96,998.6170155463612
97,998.5979713273343
98,998.5786461404439
99,998.5590742919436
100,998.5392920369492
101,998.5193372899888
102,998.4992493239198
103,998.4790684593917
104,998.4588357470603
105,998.438592644772
106,998.4183806919513
107,998.3982411834282
108,998.3782148449453
109,998.3583415125782
110,998.3386598182973
111,998.3192068838833
112,998.3000180253912
113,998.2811264703232
114,998.2625630896418
115,998.2443561466963
116,998.2265310650799
117,998.2091102173534
118,998.1921127364774
119,998.1755543516817
120,998.1594472503679
121,998.1437999674839
122,998.1286173036343
123,998.1139002729925
124,998.0996460818576
125,998.0858481384618
126,998.0724960943713
127,998.0595759175515
128,998.0470699968702
129,998.0349572775219
130,998.0232134265384
131,998.0118110272492
132,998.0007198012436
133,997.9899068560875
134,997.9793369567606
135,997.9689728185037
136,997.9587754185249
137,997.948704323778
138,997.9387180318465
139,997.928774321797
-1,1000.1300912596131
-1,1000.1300912596131
0,1000.1150912596131
1,1000.1000912596131
2,1000.0850912596131
3,1000.0700912596132
4,1000.0550912596132
5,1000.0400912596131
6,1000.0250912596131
7,1000.0100912596131
8,999.9950912596131
9,999.9800912596131
10,999.9650912596131
11,999.9500912596131
12,999.9350912596132
13,999.9200912596131
14,999.9050912596131
15,999.8900912596131
16,999.8750912596131
17,999.8600912596131
18,999.8450912596131
19,999.8300912596131
20,999.8150912596132
21,999.800091259613
22,999.7850912596131
23,999.7700912596131
24,999.7550912596131
25,999.7400912596131
26,999.7250912596131
27,999.7100912596131
28,999.6950912596132
29,999.6800912596132
30,999.6650912596131
31,999.6500912596131
32,999.6350912596131
33,999.6200912596131
34,999.6050912596131
35,999.5900912596131
36,999.5750912596131
37,999.5600912596132
38,999.5450912596131
39,999.5300912596131
40,999.5150912596131
41,999.5000912596131
42,999.4850912596131
43,999.4700912596131
44,999.4550912596131
45,999.4400912596132
46,999.425091259613
47,999.4100912596131
48,999.3950912596131
49,999.3800912596131
50,999.3650912596131
51,999.3500912596131
52,999.3350912596131
53,999.3200912596132
54,999.3050912596132
55,999.2900912596131
56,999.2750912596131
57,999.2600912596131
58,999.2450912596131
59,999.2300912596131
60,999.2150912596131
61,999.2000912596131
62,999.1850912596132
63,999.1700912596131
64,999.1550912596131
65,999.1400912596131
66,999.1250912596131
67,999.1100912596131
68,999.0950912596131
69,999.0800912596131
70,999.0650912596132
71,999.050091259613
72,999.0350912596131
73,999.0200912596131
74,999.0050912596131
75,998.9900912596131
76,998.9750912596131
77,998.9600912596131
78,998.9450912596132
79,998.9300912596132
80,998.9150912596131
81,998.9000912596131
82,998.8850912596131
83,998.8700912596131
84,998.8550912596131
85,998.8400912596131
86,998.8250912596131
87,998.8100912596132
88,998.7950912596131
89,998.7800912596131
90,998.7650912596131
91,998.7500912596131
92,998.7350912596131
93,998.7200912596131
94,998.7050912596131
95,998.6900912596132
96,998.675091259613
97,998.6600912596131
98,998.6450912596131
99,998.6300912596131
100,998.6150912596131
101,998.6000912596131
102,998.5850912596131
103,998.5700912596132
104,998.5550912596132
105,998.5400912596131
106,998.5250912596131
107,998.5100912596131
108,998.4950912596131
109,998.4800912596131
110,998.4650912596131
111,998.4500912596131
112,998.4350912596132
113,998.4200912596131
114,998.4050912596131
115,998.3900912596131
116,998.3750912596131
117,998.3600912596131
118,998.3450912596131
119,998.3300912596131
120,998.3150912596132
121,998.300091259613
122,998.2850912596131
123,998.2700912596131
124,998.2550912596131
125,998.2400912596131
126,998.2250912596131
127,998.2100912596131
128,998.1950912596132
129,998.1800912596132
130,998.1650912596131
131,998.1500912596131
132,998.1350912596131
133,998.1200912596131
134,998.1050912596131
135,998.0900912596131
136,998.0750912596131
137,998.0600912596132
137,998.0600912596132
138,998.0450912596131
0,1000.1150912596131
1,1000.1000912596131
1,1000.1000912596131
1,1000.1000912596131
2,1000.0850912596131
3,1000.0700912596132
4,1000.0550912596132
5,1000.0400912596131
6,1000.0250912596131
7,1000.0100912596131
8,999.9950912596131
9,999.9800912596131
10,999.9650912596131
11,999.9500912596131
12,999.9350912596132
13,999.9200912596131
14,999.9050912596131
15,999.8900912596131
16,999.8750912596131
17,999.8600912596131
18,999.8450912596131
19,999.8300912596131
20,999.8150912596132
21,999.800091259613
22,999.7850912596131
23,999.7700912596131
24,999.7550912596131
25,999.7400912596131
26,999.7250912596131
27,999.7100912596131
28,999.6950912596132
29,999.6800912596132
30,999.6650912596131
31,999.6500912596131
32,999.6350912596131
33,999.6200912596131
34,999.6050912596131
35,999.5900912596131
36,999.5750912596131
37,999.5600912596132
38,999.5450912596131
39,999.5300912596131
40,999.5150912596131
41,999.5000912596131
42,999.4850912596131
43,999.4700912596131
44,999.4550912596131
45,999.4400912596132
46,999.425091259613
47,999.4100912596131
48,999.3950912596131
49,999.3800912596131
50,999.3650912596131
51,999.3500912596131
52,999.3350912596131
53,999.3200912596132
54,999.3050912596132
55,999.2900912596131
56,999.2750912596131
57,999.2600912596131
58,999.2450912596131
59,999.2300912596131
60,999.2150912596131
61,999.2000912596131
62,999.1850912596132
63,999.1700912596131
64,999.1550912596131
65,999.1400912596131
66,999.1250912596131
67,999.1100912596131
68,999.0950912596131
69,999.0800912596131
70,999.0650912596132
71,999.050091259613
72,999.0350912596131
73,999.0200912596131
74,999.0050912596131
75,998.9900912596131
76,998.9750912596131
77,998.9600912596131
78,998.9450912596132
79,998.9300912596132
80,998.9150912596131
81,998.9000912596131
82,998.8850912596131
83,998.8700912596131
84,998.8550912596131
85,998.8400912596131
86,998.8250912596131
87,998.8100912596132
88,998.7950912596131
89,998.7800912596131
90,998.7650912596131
91,998.7500912596131
92,998.7350912596131
93,998.7200912596131
94,998.7050912596131
95,998.6900912596132
96,998.675091259613
97,998.6600912596131
98,998.6450912596131
99,998.6300912596131
100,998.6150912596131
101,998.6000912596131
102,998.5850912596131
103,998.5700912596132
104,998.5550912596132
105,998.5400912596131
106,998.5250912596131
107,998.5100912596131
108,998.4950912596131
109,998.4800912596131
110,998.4650912596131
111,998.4500912596131
112,998.4350912596132
113,998.4200912596131
114,998.4050912596131
115,998.3900912596131
116,998.3750912596131
117,998.3600912596131
118,998.3450912596131
119,998.3300912596131
120,998.3150912596132
121,998.300091259613
122,998.2850912596131
123,998.2700912596131
124,998.2550912596131
125,998.2400912596131
126,998.2250912596131
127,998.2100912596131
128,998.1950912596132
129,998.1800912596132
130,998.1650912596131
131,998.1500912596131
132,998.1350912596131
133,998.1200912596131
134,998.1050912596131
135,998.0900912596131
136,998.0750912596131
137,998.0600912596132
138,998.0450912596131
139,998.0300912596131
139,998.0300912596131
139,998.0300912596131
0.0,1005.1150912596131
1.0,1005.1000912596131
2.0,1005.0850912596131
3.0,1005.0700912596132
4.0,1005.0550912596132
5.0,1005.0400912596131
6.0,1005.0250912596131
7.0,1005.0100912596131
8.0,1004.9950912596131
9.0,1004.9800912596131
10.0,1004.9650912596131
11.0,1004.9500912596131
12.0,1004.9350912596132
13.0,1004.9200912596131
14.0,1004.9050912596131
15.0,1004.8900912596131
16.0,1004.8750912596131
17.0,1004.8600912596131
18.0,1004.8450912596131
19.0,1004.8300912596131
20.0,1004.8150912596132
21.0,1004.800091259613
22.0,1004.7850912596131
23.0,1004.7700912596131
24.0,1004.7550912596131
25.0,1004.7400912596131
26.0,1004.7250912596131
27.0,1004.7100912596131
28.0,1004.6950912596132
29.0,1004.6800912596132
30.0,1004.6650912596131
31.0,1004.6500912596131
32.0,1004.6350912596131
33.0,1004.6200912596131
34.0,1004.6050912596131
35.0,1004.5900912596131
36.0,1004.5750912596131
37.0,1004.5600912596132
38.0,1004.5450912596131
39.0,1004.5300912596131
40.0,1004.5150912596131
41.0,1004.5000912596131
42.0,1004.4850912596131
43.0,1004.4700912596131
44.0,1004.4550912596131
45.0,1004.4400912596132
46.0,1004.425091259613
47.0,1004.4100912596131
48.0,1004.3950912596131
49.0,1004.3800912596131
50.0,1004.3650912596131
51.0,1004.3500912596131
52.0,1004.3350912596131
53.0,1004.3200912596132
54.0,1004.3050912596132
55.0,1004.2900912596131
56.0,1004.2750912596131
57.0,1004.2600912596131
58.0,1004.2450912596131
59.0,1004.2300912596131
60.0,1004.2150912596131
61.0,1004.2000912596131
62.0,1004.1850912596132
63.0,1004.1700912596131
64.0,1004.1550912596131
65.0,1004.1400912596131
66.0,1004.1250912596131
67.0,1004.1100912596131
68.0,1004.0950912596131
69.0,1004.0800912596131
70.0,1004.0650912596132
71.0,1004.050091259613
72.0,1004.0350912596131
73.0,1004.0200912596131
74.0,1004.0050912596131
75.0,1003.9900912596131
76.0,1003.9750912596131
77.0,1003.9600912596131
78.0,1003.9450912596132
79.0,1003.9300912596132
80.0,1003.9150912596131
81.0,1003.9000912596131
82.0,1003.8850912596131
83.0,1003.8700912596131
84.0,1003.8550912596131
85.0,1003.8400912596131
86.0,1003.8250912596131
87.0,1003.8100912596132
88.0,1003.7950912596131
89.0,1003.7800912596131
90.0,1003.7650912596131
91.0,1003.7500912596131
92.0,1003.7350912596131
93.0,1003.7200912596131
94.0,1003.7050912596131
95.0,1003.6900912596132
96.0,1003.675091259613
97.0,1003.6600912596131
98.0,1003.6450912596131
99.0,1003.6300912596131
100.0,1003.6150912596131
101.0,1003.6000912596131
102.0,1003.5850912596131
103.0,1003.5700912596132
104.0,1003.5550912596132
105.0,1003.5400912596131
106.0,1003.5250912596131
107.0,1003.5100912596131
108.0,1003.4950912596131
109.0,1003.4800912596131
110.0,1003.4650912596131
111.0,1003.4500912596131
112.0,1003.4350912596132
113.0,1003.4200912596131
114.0,1003.4050912596131
115.0,1003.3900912596131
116.0,1003.3750912596131
117.0,1003.3600912596131
118.0,1003.3450912596131
119.0,1003.3300912596131
120.0,1003.3150912596132
121.0,1003.300091259613
122.0,1003.2850912596131
123.0,1003.2700912596131
124.0,1003.2550912596131
125.0,1003.2400912596131
126.0,1003.2250912596131
127.0,1003.2100912596131
128.0,1003.1950912596132
129.0,1003.1800912596132
130.0,1003.1650912596131
131.0,1003.1500912596131
132.0,1003.1350912596131
133.0,1003.1200912596131
134.0,1003.1050912596131
135.0,1003.0900912596131
136.0,1003.0750912596131
137.0,1003.0600912596132
138.0,1003.0450912596131
138.0,1003.0450912596131
0.0,1010.1150912596131
1.0,1010.1000912596131
2.0,1010.0850912596131
3.0,1010.0700912596132
4.0,1010.0550912596132
5.0,1010.0400912596131
6.0,1010.0250912596131
7.0,1010.0100912596131
8.0,1009.9950912596131
9.0,1009.9800912596131
10.0,1009.9650912596131
11.0,1009.9500912596131
12.0,1009.9350912596132
13.0,1009.9200912596131
14.0,1009.9050912596131
15.0,1009.8900912596131
16.0,1009.8750912596131
17.0,1009.8600912596131
18.0,1009.8450912596131
19.0,1009.8300912596131
20.0,1009.8150912596132
21.0,1009.800091259613
22.0,1009.7850912596131
23.0,1009.7700912596131
24.0,1009.7550912596131
25.0,1009.7400912596131
26.0,1009.7250912596131
27.0,1009.7100912596131
28.0,1009.6950912596132
29.0,1009.6800912596132
30.0,1009.6650912596131
31.0,1009.6500912596131
32.0,1009.6350912596131
33.0,1009.6200912596131
34.0,1009.6050912596131
35.0,1009.5900912596131
36.0,1009.5750912596131
37.0,1009.5600912596132
38.0,1009.5450912596131
39.0,1009.5300912596131
40.0,1009.5150912596131
41.0,1009.5000912596131
42.0,1009.4850912596131
43.0,1009.4700912596131
44.0,1009.4550912596131
45.0,1009.4400912596132
46.0,1009.425091259613
47.0,1009.4100912596131
48.0,1009.3950912596131
49.0,1009.3800912596131
50.0,1009.3650912596131
51.0,1009.3500912596131
52.0,1009.3350912596131
53.0,1009.3200912596132
54.0,1009.3050912596132
55.0,1009.2900912596131
56.0,1009.2750912596131
57.0,1009.2600912596131
58.0,1009.2450912596131
59.0,1009.2300912596131
60.0,1009.2150912596131
61.0,1009.2000912596131
62.0,1009.1850912596132
63.0,1009.1700912596131
64.0,1009.1550912596131
65.0,1009.1400912596131
66.0,1009.1250912596131
67.0,1009.1100912596131
68.0,1009.0950912596131
69.0,1009.0800912596131
70.0,1009.0650912596132
71.0,1009.050091259613
72.0,1009.0350912596131
73.0,1009.0200912596131
74.0,1009.0050912596131
75.0,1008.9900912596131
76.0,1008.9750912596131
77.0,1008.9600912596131
78.0,1008.9450912596132
79.0,1008.9300912596132
80.0,1008.9150912596131
81.0,1008.9000912596131
82.0,1008.8850912596131
83.0,1008.8700912596131
84.0,1008.8550912596131
85.0,1008.8400912596131
86.0,1008.8250912596131
87.0,1008.8100912596132
88.0,1008.7950912596131
89.0,1008.7800912596131
90.0,1008.7650912596131
91.0,1008.7500912596131
92.0,1008.7350912596131
93.0,1008.7200912596131
